city,lon,lat,avg_pm2_5
七台河,130.9374667,45.806,30.53728971
三亚,109.5020075,18.2586915,14.96014395
三明,117.646675,26.270475,25.34122551
三门峡,111.1724167,34.78828611,57.50870261
上海,121.4509,31.21195,36.48921404
上饶,117.9583,28.448825,34.59793158
东莞,113.7647178,23.02736678,35.33774724
东营,118.6084133,37.44316866,50.08892363
丽水,119.9076667,28.44436667,28.06260719
丽江,100.2281,26.87613333,16.5730006
中卫,105.1250212,37.32008363,37.83213403
中山,113.3925,22.5164,28.88950764
临夏,103.21015,35.6018,45.81442155
临安,119.7066667,30.23430555,36.72727534
临汾,111.5095196,36.072762,67.20790688
临沂,118.3399451,35.05247506,51.30701922
临沧,100.08255,23.8902,27.60126267
义乌,120.0845834,29.3201639,34.93382314
丹东,124.3289818,40.05611052,28.67952698
乌兰察布,113.12606,41.0196595,26.03739634
乌海,106.8079667,39.67533333,41.01792561
乌鲁木齐,87.58336667,43.86821667,65.06501595
乐山,103.7602,29.5738,46.10180194
九江,116.0003323,29.67551289,39.92858391
乳山,121.53885,36.9214,23.56847336
云浮,112.043333,22.936759,31.84784696
五家渠,87.5475,44.1756,69.65999708
亳州,115.7949,33.848,57.75834061
伊春,129.0924,47.97323333,19.66612587
伊犁,81.30153333,43.92546667,49.21027928
佛山,113.0655,22.9843,33.91175963
佳木斯,130.3476,46.79774,29.39696659
保定,115.3611667,38.786875,64.58620981
保山,99.16945,25.12045,21.8764779
信阳,114.0637639,32.12475,54.00759965
克孜勒苏,76.1861,39.7153,61.19552953
克拉玛依,84.8990226,45.4648026,29.05327566
六安,116.514725,31.76245,45.46776772
六盘水,104.86438,26.58296,33.0531449
兰州,103.6322712,36.05784407,44.19754417
兴安盟,122.0324103,46.07575433,20.7542674
内江,105.061975,29.59215,37.52656715
凉山,102.27516,27.8656,21.34720896
包头,109.9082667,40.62778333,40.11770516
北京,116.38175,40.03383333,50.77340167
北海,109.1636808,21.47291675,28.41141408
十堰,110.8579167,32.56368055,39.76142479
南京,118.7743519,32.06231481,43.85702113
南充,106.0862167,30.80306667,45.57254968
南宁,108.321375,22.8033,33.27444325
南平,118.155875,26.64825,21.83126897
南昌,115.8841111,28.70373333,28.7495288
南通,120.8715,31.99383333,41.35403927
南阳,112.5298233,32.99452278,60.97569013
博尔塔拉,82.06228065,44.9047948,26.63393861
即墨,120.453895,36.38699,34.27113364
厦门,118.1165417,24.5639,24.37353096
双鸭山,131.159425,46.6278,27.52010853
句容,119.16638,31.95072,51.96182151
台州,121.3563333,28.6258,29.0681237
合肥,117.2478,31.84824,48.0893088
吉安,114.988275,27.1013,39.35927187
吉林,126.5600317,43.855992,35.18841737
吐鲁番,89.1673,42.9559,55.55092715
吕梁,111.1328778,37.5149,51.94768784
吴忠,106.1848295,37.97544487,38.83434364
吴江,120.6516067,31.16692333,39.55582327
周口,114.6569792,33.61469445,59.6552517
呼伦贝尔,119.7553,49.1919,16.46474321
呼和浩特,111.6653375,40.8014625,38.66723417
和田,79.9301,37.10825,109.3238617
咸宁,114.2849877,29.76014495,37.11166397
咸阳,79.49984848,25.11784361,66.9613626
哈密,93.50445,42.825,27.43847035
哈尔滨,126.6518092,45.74024885,39.71707526
唐山,118.183,39.64516667,60.51897396
商丘,115.6554861,34.41665278,62.62617396
商洛,109.93985,33.8593,36.14918222
喀什,75.96315,39.4868,95.03122585
嘉兴,120.7333333,30.7688,39.0222078
嘉峪关,98.2777771,39.7849175,28.57909168
四平,124.3675667,43.17293333,38.79813052
固原,106.2536196,36.0493382,35.06424554
塔城,82.9994,46.7432,12.27907185
大兴安岭,124.12445,50.4243,18.45047943
大同,113.3072,40.09998333,37.15447877
大庆,124.9233334,46.4433332,27.48072634
大理,100.18565,25.64325,16.44320659
大连,121.6278,38.94953,30.08804168
天水,105.8648333,34.49786667,36.23209661
天津,117.3378685,39.10484162,52.59423567
太仓,121.12135,32.9437,37.09538882
太原,112.5159,37.8505625,56.28755679
威海,122.0792726,37.49314812,27.34256725
孝感,113.926982,30.92437635,43.92673125
宁德,119.5198333,26.67213333,25.00292234
宁波,121.6275,29.8703625,32.69137933
安庆,117.0250245,30.55412449,46.19162181
安康,109.0221333,32.68973333,36.75998275
安阳,114.4002111,36.08646667,73.96590721
安顺,105.923685,26.2518075,31.01747532
定西,104.61985,35.58445,40.58739043
宜兴,119.810115,31.35882,44.13395075
宜宾,104.6162167,28.7696,50.81893856
宜昌,111.3087046,30.701455,52.66417014
宜春,114.3783,27.79756,39.15565322
宝鸡,89.33901429,28.62834286,50.61992322
宣城,118.7380667,30.954,43.7601039
宿州,116.9708459,33.63858378,58.10188349
宿迁,118.2778964,33.95034217,54.31385385
富阳,119.9489,30.0471,36.92127386
寿光,118.76175,36.86375,53.79065486
山南,91.7657,29.24615,10.80736584
岳阳,113.151641,29.3886245,44.0365929
崇左,107.35885,22.39225,31.32370745
巴中,106.7548227,31.85361818,30.51230308
巴彦淖尔,107.4620667,40.80486667,34.68854505
巴音郭楞,86.19546667,41.7277,48.75407362
常州,119.9548148,31.7887037,52.858247
常德,111.7072224,28.9914224,42.24529795
常熟,120.739535,31.65705,45.71631141
平凉,106.68655,35.53775,36.80269308
平度,119.957365,36.78975,39.8309546
平顶山,113.2754861,33.72959722,65.26267493
广元,105.8491,32.437375,26.89989966
广安,106.6335176,30.4782306,38.09581486
广州,113.3507659,23.18525019,34.2905791
庆阳,107.6533667,35.65306667,33.68182018
廊坊,116.72725,39.54475,52.0305576
延安,109.4693,36.6044,36.07316084
延边,129.4536759,42.89386723,27.30729068
开封,114.3384278,34.7929347,65.23107343
张家口,114.8956,40.817,32.37387191
张家港,120.54215,31.8722,40.90398192
张家界,110.4822747,29.22293975,30.43579946
张掖,100.45915,38.9428,37.18648901
徐州,117.215873,34.2568254,66.23384891
德宏,98.5811,24.4345,34.15565665
德州,116.3018055,37.45422234,57.51360235
德阳,104.39235,31.1204,42.74325909
忻州,112.7247333,38.45443333,52.88808675
怀化,109.97888,27.55854,34.21524126
怒江,98.85735,25.8492,24.7959059
恩施,109.5038889,30.2988889,36.68743091
惠州,114.4446,22.95742,27.43942292
成都,104.0395019,30.68636091,47.02898388
扬州,119.4238095,32.39417506,48.93119982
承德,117.9274,40.964,32.157666
抚州,116.33628,27.99942,36.38124358
抚顺,123.7945035,41.87185408,39.88318661
拉萨,91.10846667,29.64401667,17.06704273
招远,120.402525,37.370045,33.09752517
揭阳,116.6398084,25.67351995,32.92880543
攀枝花,101.6903694,26.56361018,33.84706448
文山,104.2426,23.3743,26.10901191
文登,122.0361,37.19165,23.97948443
新余,114.973278,27.8510042,38.20585752
新乡,113.88225,35.28325,61.83251792
无锡,120.3038766,31.55509637,41.91366785
日喀则,88.89035,29.25415,16.45681491
日照,119.52,35.39277778,42.5377057
昆山,120.9784545,31.38259,36.13602029
昆明,102.7083605,25.0138686,27.47401384
昌吉,87.2857,44.02055,61.47663286
昌都,97.18065,31.1266,17.86660093
昭通,103.71285,27.33765,21.26419154
晋中,112.7288611,37.70111945,53.78530064
晋城,112.8463833,35.50058333,60.60208308
普洱,100.98085,22.79775,18.58583488
景德镇,117.2242,29.30422,30.22097174
曲靖,103.6725296,25.3256402,28.2840503
朔州,112.4312,39.34474,43.6084569
朝阳,120.4419677,41.6128048,38.27545285
本溪,123.7764196,41.30884956,32.93205524
来宾,54.60633775,23.7218908,39.78259821
杭州,120.0819091,30.21117273,38.24132346
松原,124.841,45.126,28.54309321
林芝,94.36485,29.6504,9.245639016
果洛,100.2561,34.4714,21.12416275
枣庄,117.5204189,34.81920995,58.89784316
柳州,109.4273055,24.32704618,40.73764503
株洲,113.1619833,27.86096171,43.17661509
桂林,110.2997222,25.25290278,37.02097081
梅州,116.1092777,24.288452,27.82515094
梧州,111.2757,23.46215,36.95416092
楚雄,101.5431,25.04665,24.30947431
榆林,109.737375,38.2893,35.8265441
武威,102.6344,37.93345,42.55235461
武汉,114.2352773,30.56543445,47.59457471
毕节,105.298195,27.30139,33.1348122
永州,111.6118,26.35018,46.36310753
汉中,107.00515,33.100225,45.44043571
汕头,116.6478423,23.330514,25.9074683
汕尾,115.363426,22.78472233,23.01940433
江门,113.071,22.578475,30.55159306
江阴,120.2750333,31.91430667,51.98990105
池州,117.4857,30.65853333,45.39287534
沈阳,123.4613451,41.80196455,38.01300859
沧州,116.8713333,38.31566667,59.0649201
河池,108.1227667,24.70053333,29.49173176
河源,114.7536813,23.72685863,28.00939623
泉州,118.4607933,24.76495925,24.97987727
泰安,117.127718,36.189343,52.21814877
泰州,119.9036111,32.43243056,48.69687099
泸州,105.4363,28.899925,37.65483028
洛阳,112.421627,34.65900794,60.69503214
济南,116.97125,36.64389785,55.56519796
济宁,116.6198449,35.42655207,54.19449743
海东,102.1086,36.4997,43.99627145
海北,100.9048,36.9639,24.63516404
海南,100.6236039,36.2757528,24.06074742
海口,110.37,20.00918,17.50767003
海西,97.3731,37.3753,22.17000964
海门,121.1650664,31.89429563,34.62004628
淄博,118.0082407,36.73421296,57.50767949
淮北,116.7973,33.94026667,58.61252038
淮南,116.8695333,32.6531,55.55410555
淮安,119.0434944,33.58289111,50.84999188
深圳,114.1469452,22.59375205,25.16368883
清远,113.0516005,23.67654793,36.946618
温州,120.6855,27.99855,30.68472624
渭南,109.4811,34.5014,57.9213964
湖州,120.1148,30.85933333,36.31011962
湘潭,112.8779011,27.88309373,45.71660258
湘西,109.6904208,28.27942593,32.73144819
湛江,110.3915555,21.235625,25.98221763
溧阳,119.44275,31.3533,44.88079526
滁州,118.3165333,32.3,50.06878646
滨州,118.0001852,37.37444444,56.57536544
漯河,114.0268,33.56639445,63.00899063
漳州,117.6673667,24.49636667,30.61949455
潍坊,119.1419747,36.70681215,54.62811728
潮州,116.6322963,23.66695967,28.34831889
濮阳,115.0403889,35.76605556,64.50787391
烟台,121.3612365,37.50313927,31.18898566
焦作,113.2339682,35.22121548,66.44114555
牡丹江,129.0926492,44.7755668,29.71798685
玉林,110.1404667,22.65313333,36.14290602
玉树,97,33.0014,16.19388184
玉溪,102.5515927,24.359548,24.2378965
珠海,113.499,22.285925,26.89841064
瓦房店,122.0059,39.621,39.13572117
甘南,102.9064746,35.0015277,30.35530724
甘孜,101.9568165,30.022361,18.3953196
白城,122.83275,45.6232,28.47324497
白山,126.40625,41.93125,31.80780767
白银,104.1731,36.54695,37.74148361
百色,106.6315,23.89275,36.06783936
益阳,112.3611,28.59404,34.53149253
盐城,120.1547222,33.38784722,43.57900751
盘锦,122.030162,41.15115767,37.1369075
眉山,103.85665,30.067125,37.04627567
石嘴山,106.7196618,39.07112903,42.82313147
石家庄,114.6438667,38.01513333,68.18602591
石河子,86.0597,44.3021,62.53764769
福州,119.359,26.07511667,24.16767643
秦皇岛,119.6068,39.9362,38.41771942
娄底,111.99194,27.72854,31.11243722
红河,103.3796667,23.39476667,25.70102017
绍兴,120.6606333,30.02876667,41.67905916
绥化,126.9785,46.64555,35.65477525
绵阳,104.73285,31.47535,45.72056617
聊城,115.9940887,36.45236048,61.21418341
肇庆,112.48375,23.090925,36.76028245
胶州,120.0172643,36.26762435,42.50059774
自贡,104.755,29.354725,56.99894355
舟山,122.207,29.99016667,22.41600227
芜湖,118.3739583,31.36784725,49.80030545
苏州,120.6044757,31.30078472,41.68038608
茂名,110.9334,21.619725,25.73306185
荆州,112.248289,30.32766533,48.39518823
荆门,112.20255,31.0275086,56.25192175
荣成,122.4209,37.161475,23.64363784
莆田,119.04232,25.43068,26.29034401
莱州,119.9675,37.19,33.69680826
莱芜,117.702063,36.2182926,68.5276355
莱西,120.52985,36.8764,41.52569475
菏泽,115.4553147,35.25411733,60.67716696
萍乡,113.90216,27.60454,39.27178857
营口,122.3012936,40.6853696,37.8402079
葫芦岛,120.8591732,40.7408054,41.57070051
蓬莱,120.7694,37.8059,32.71359311
蚌埠,117.3568167,32.92925,53.86904912
衡水,115.676,37.745,61.69042352
衡阳,112.5933333,26.90018333,42.7683543
衢州,118.8656667,28.96043333,33.26246664
襄阳,112.1721722,32.0702361,61.02903418
西双版纳,100.7978,22.0122,24.87623837
西宁,101.735,36.623325,42.39562646
西安,94.45790667,29.73098667,63.31412961
许昌,113.8148148,34.01277778,64.01519318
贵港,109.5855,23.10325,39.26126947
贵阳,106.7017971,26.55266858,31.05448661
贺州,111.54455,24.41235,37.53479295
资阳,104.6405,30.133,36.83721769
赣州,114.92238,25.86134,38.09438892
赤峰,119.0062,42.211125,30.95071627
辽源,125.14625,42.895,34.49074776
辽阳,123.2053014,41.24151322,36.27997466
达州,107.50154,31.2251,45.7244622
运城,111.0160644,35.05303778,60.60461316
连云港,119.2583813,34.65682223,44.48820199
迪庆,99.70598261,27.82304348,13.2448923
通化,125.94235,41.72685,28.80274468
通辽,122.2724667,43.6408,32.65905892
遂宁,105.5761,30.52185,36.32297463
遵义,106.9137,27.68935,27.12349762
邢台,114.5065,37.077,70.03340815
那曲,92.0581,31.47895,31.43058897
邯郸,114.50325,36.60685,70.21759918
邵阳,111.47422,27.25482,44.50638936
郑州,113.6533408,34.77363367,65.70141158
郴州,113.02078,25.82592,29.85453673
鄂尔多斯,109.90196,39.72498,26.8118266
鄂州,114.8664815,30.39317593,45.63493602
酒泉,98.50565,39.7377,33.20190301
重庆,106.5097068,29.59513735,37.85521518
金华,119.6621,29.09756667,34.32340096
金坛,119.58415,31.74235,45.9749349
金昌,102.1821765,38.52234205,26.70272537
钦州,108.6259333,21.88686667,31.76243331
铁岭,123.7682922,42.24837442,37.70128881
铜仁,109.17972,27.71458,22.48238118
铜川,91.79549474,29.46273684,47.65483162
铜陵,117.810573,30.93106622,48.2845153
银川,106.1539667,38.503855,39.3986161
锡林郭勒,116.09115,43.9314,16.76485893
锦州,121.3856774,41.05954614,45.45837936
镇江,119.5077084,32.18520834,54.16728794
长春,125.3464,43.82473,33.25272785
长沙,112.9846,28.20576,46.27346586
长治,113.1073689,36.18748,53.54770531
阜新,121.673595,42.03081767,37.10661122
阜阳,115.8247,32.8797,54.70138771
防城港,108.3476,21.67343333,29.41209385
阳江,111.9622547,21.857164,30.41144835
阳泉,113.5622667,37.8607,59.78199543
阿克苏,80.2892,41.17845,74.17155531
阿勒泰,88.12405,47.8781,10.58133978
阿坝,102.2125,31.90816667,12.70717722
阿拉善盟,105.6996667,38.84296667,35.89158131
阿里,80.10400909,32.50177273,15.1349235
陇南,105.0081,33.35355,29.83626821
随州,113.3779518,31.71665553,43.82730122
雅安,103.005325,29.99185,42.16279503
青岛,120.3868851,36.11952267,34.57520677
鞍山,123.0427028,41.11737633,36.82294235
章丘,117.5387,36.7013,53.01478105
韶关,113.5925554,24.7721666,35.21063666
马鞍山,118.5261734,31.6977668,46.30102539
驻马店,114.0090185,32.98931481,60.30740162
鸡西,130.97095,45.2975,30.80618319
鹤壁,114.2511111,35.79453704,55.99026027
鹤岗,130.23845,47.324325,24.07977335
鹰潭,117.01344,28.20856,34.68047694
黄冈,114.8966278,30.4619111,41.22895534
黄南,102.0199,35.5102,29.31513581
黄山,118.2554667,29.90303333,24.64294496
黄岛,120.01425,35.8707,37.47755112
黄石,114.9962023,30.20217391,42.54596151
黑河,127.4716,50.24716667,18.72650721
黔东南,107.932635,26.554445,28.23197703
黔南,107.52278,26.24056,25.77071928
黔西南,104.891665,25.095835,14.93026353
齐齐哈尔,123.8798494,47.3230012,27.80430832
龙岩,117.0201,25.079525,26.27453533
